Battery Capacity (kWh),Energy Consumed (kWh),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Vehicle Model_BMW i3,Vehicle Model_Chevy Bolt,Vehicle Model_Hyundai Kona,Vehicle Model_Nissan Leaf,Vehicle Model_Tesla Model 3,Charging Station Location_Chicago,Charging Station Location_Houston,Charging Station Location_Los Angeles,Charging Station Location_New York,Charging Station Location_San Francisco,User Type_Casual Driver,User Type_Commuter,User Type_Long-Distance Traveler,Charging Efficiency (kWh/h),Energy per Charge %,Distance per kWh,Total Charge Gained,Charger Efficiency,Temperature Adjusted Consumption,Charger Type_DC Fast Charger,Charger Type_Level 1,Charger Type_Level 2,Charging Duration (hours)
64,18.246851211886796,6.267617524574193,6.386397924160378,5,2,51.273046592794906,81.96262186136818,122.8820904017745,28.998391316505323,3,0,0,1,0,0,0,0,0,1,0,0,1,0,6.498630323454919,30.68957526857327,6.7344271608749535,18.246851211886796,1.0368581519173699,16.604928136900728,0,0,1,2.807799536777786
75,18.737142726582995,6.5070403936043295,5.621142817974898,23,6,32.51559426655998,57.67200538891255,103.7408303743994,9.225713300405223,2,0,0,0,0,1,0,0,1,0,0,0,0,1,5.943257123464178,25.156411122352573,5.536640878932885,18.737142726582995,0.9133579575294651,20.755936203257317,0,0,1,3.1526724045991767
40,3.8575660724504495,6.115300066388002,1.2344211431841439,13,4,42.32174004058235,52.59015565274475,20.30760049935961,24.292832868928617,3,0,0,0,1,0,0,0,0,0,1,1,0,0,5.573217526303872,10.2684156121624,5.264355844580407,3.8575660724504495,0.911356346508061,3.6919672081516577,0,0,1,0.6921614048337292
40,9.712805516476125,146.72635875263654,1.4569208274714187,11,3,41.44955024356973,66.88453035937437,55.10697439265719,13.662098255777362,2,0,0,0,1,0,1,0,0,0,0,1,0,0,146.35739021987197,25.434980115804635,5.673641287182943,9.712805516476125,0.9974853289081711,10.32839358671782,1,0,0,0.06636361513337062
60,22.37192131897135,6.558612612604369,7.159014822070832,3,0,60.88286746784631,100.0,118.31204336500814,24.585552821543093,6,0,1,0,0,0,0,0,0,0,1,1,0,0,6.034493008523983,39.11713253215369,5.288416746963961,22.37192131897135,0.9200868178929898,21.346045049695856,0,0,1,3.7073406643060225
60,19.472154464926962,1.851546863938269,2.920823169739044,22,3,60.39783881693096,94.23739250427023,103.81527892001476,23.4655272829225,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1.8431675741915128,33.839553687339276,5.331473674728995,19.472154464926962,0.9954744382062609,18.797341639372107,0,1,0,10.564505765824483
42,5.347242327468645,143.3571083457648,0.6416690792962373,5,1,59.960828160822594,74.01122474542895,32.79426864293354,19.242398731859517,4,1,0,0,0,0,0,1,0,0,0,1,0,0,149.59247801707468,14.050396584606354,6.132931076355046,5.347242327468645,1.0434953644312546,5.387753103152092,1,0,0,0.03574539574682561
75,30.814839835839443,130.13479918738085,4.622225975375916,9,5,10.661896855747948,54.54747644349935,160.53371312825817,3.324869549755336,1,0,0,0,0,1,1,0,0,0,0,0,1,0,136.49837276012994,43.8855795877514,5.209623479579088,30.814839835839443,1.0488998608557132,35.95325457649963,1,0,0,0.22575243362051423
40,12.151348801870418,117.4258842006499,4.252972080654646,17,5,54.9727290681333,86.21614286354301,62.64841236095163,23.449485200992907,1,0,0,0,1,0,0,0,0,1,0,0,1,0,108.13680892217407,31.243413795409715,5.155675586508418,12.151348801870418,0.9208941423629967,11.732189823228868,1,0,0,0.11237014410713496
40,16.071146507577343,3.5211587510349203,4.821343952273202,14,3,55.52058340666029,99.18951787644734,102.62946383390532,22.016154167974918,3,0,0,0,1,0,0,0,1,0,0,0,1,0,3.7680033732909464,43.66893446978705,6.385945382646896,16.071146507577343,1.05,15.747127417423467,0,0,1,4.265162452214294
